id_cl,id_us,label
90254,344163,1
229979,143110,1
367675,241193,1
2416,817252,1
257606,406137,1
124795,435064,1
154276,79832,1
253137,7220,1
84311,8009,1
254654,412166,1
86318,35804,1
85287,7253,1
334491,734377,1
396898,141637,1
249459,406251,1
288589,585980,1
371958,557754,1
276293,406481,1
84880,7839,1
270380,899598,1
272339,309558,1
315059,638374,1
393944,824418,1
411796,638374,1
270887,537162,1
328417,585638,1
187149,241177,1
255577,8009,1
271934,104492,1
182700,740770,1
255053,385671,1
201809,919735,1
277859,296983,1
302812,586296,1
285672,195936,1
89601,405272,1
329970,527796,1
274048,26807,1
195665,919735,1
339948,7194,1
258765,405980,1
331846,7811,1
388736,293156,1
394623,824183,1
100751,201583,1
69955,865641,1
282071,487936,1
219559,345783,1
146094,577874,1
182236,802433,1
297191,586296,1
293287,532699,1
174114,859108,1
302815,435064,1
328790,586167,1
421513,978112,1
391499,388164,1
257305,385412,1
334933,734176,1
89139,258896,1
191850,214283,1
258646,378283,1
178716,294274,1
254250,308,1
202007,824382,1
144938,678188,1
325242,517730,1
389694,768207,1
256191,406346,1
145154,679569,1
89045,761902,1
209651,289573,1
182639,405272,1
178396,293599,1
295005,586025,1
154296,435064,1
218967,79832,1
89362,490961,1
173685,858398,1
399030,435064,1
195187,921059,1
294499,585905,1
245002,884783,1
244990,884783,1
277901,296185,1
253359,7186,1
83407,132617,1
422192,649060,1
333737,7839,1
8761,899598,1
331948,7220,1
265697,161717,1
331700,8136,1
390117,817252,1
291071,637921,1
205087,921059,1
393901,782776,1
200722,557754,1
230486,882750,1
298749,657680,1
331584,7459,1
201644,632617,1
270718,923388,1
339889,79832,1
337455,605655,1
348375,68305,1
257375,438455,1
405377,638374,1
168535,978112,1
288555,586401,1
80764,136336,1
399365,716139,1
209970,919356,1
202040,824475,1
266182,435064,1
328755,585895,1
397203,776739,1
144967,681026,1
296853,585654,1
330647,727754,1
328842,435064,1
190878,923388,1
288696,585804,1
187802,270512,1
355710,923388,1
253383,385854,1
120687,27292,1
89507,402528,1
296181,586478,1
328788,586122,1
420508,730436,1
264248,903566,1
201412,182347,1
399710,716971,1
202728,435064,1
273936,51060,1
340714,527796,1
88741,740803,1
340583,413108,1
251730,48310,1
173454,189394,1
202418,256543,1
369730,999592,1
101577,669004,1
206207,919735,1
284443,100643,1
336601,585864,1
395618,796808,1
181660,802409,1
206859,69803,1
274106,54963,1
255048,406393,1
182304,344163,1
273506,26058,1
424713,437335,1
328457,586122,1
187199,96488,1
339607,7186,1
198671,919735,1
160994,181111,1
294081,585794,1
273963,55096,1
271528,525881,1
329633,527796,1
389236,81991,1
374971,340147,1
297418,988392,1
389016,149636,1
251320,433208,1
115025,435064,1
182622,802433,1
252286,406339,1
270552,141637,1
284355,155339,1
255537,405962,1
329025,567194,1
154092,79832,1
179382,155271,1
209847,920552,1
389842,807387,1
343494,7639,1
255513,51761,1
85964,435064,1
384795,435064,1
331988,7186,1
153858,978112,1
388666,161717,1
294698,722038,1
398288,807043,1
255468,56709,1
180801,405793,1
295099,979422,1
257916,385708,1
389634,311158,1
181641,8937,1
141415,529266,1
83981,8937,1
302744,586218,1
348112,923388,1
241810,874271,1
391886,678290,1
252924,201583,1
275046,55113,1
257299,406117,1
256387,385854,1
257607,405925,1
188357,189719,1
343625,912262,1
141371,528732,1
265814,81900,1
333734,734377,1
336711,585895,1
328391,585876,1
236769,845033,1
392474,27292,1
256751,8368,1
395055,824183,1
394622,824116,1
254705,365293,1
387348,225294,1
166317,899598,1
202292,257761,1
249680,436458,1
252121,405980,1
286859,619623,1
21818,658534,1
205088,921799,1
417451,79832,1
206035,817252,1
283129,261934,1
341659,413244,1
333383,385652,1
22842,142074,1
281633,461041,1
86938,304917,1
255112,77083,1
191987,159063,1
276820,388751,1
390263,807249,1
288580,586047,1
184812,405272,1
388258,107747,1
349879,911412,1
253315,406346,1
255573,7304,1
182009,51761,1
127195,435064,1
272002,50932,1
201991,822685,1
349183,435064,1
194152,919735,1
86598,35852,1
264900,82082,1
328897,586225,1
333195,435380,1
54174,189783,1
198400,268974,1
303508,435064,1
398111,806535,1
209387,435064,1
341380,194139,1
290752,153980,1
271615,141637,1
213057,83502,1
46817,899598,1
95533,817252,1
174454,435064,1
192779,221566,1
302379,585638,1
328530,585964,1
293893,585661,1
271320,89910,1
425322,131706,1
331175,7304,1
255864,365158,1
251732,333019,1
339139,7478,1
295237,586144,1
193572,435064,1
394066,824233,1
277891,296344,1
389766,807197,1
219221,435064,1
393921,824204,1
388469,262751,1
254244,365293,1
302713,585794,1
389691,768157,1
275687,405925,1
328605,550784,1
288383,591026,1
274215,54988,1
274242,54995,1
275708,106039,1
240621,959003,1
204739,922745,1
398514,807237,1
273782,58263,1
148497,625248,1
182237,802409,1
204095,919735,1
189524,435064,1
154439,650894,1
114444,899598,1
86324,35516,1
301991,550784,1
302224,550927,1
241000,859399,1
258318,385849,1
1570,670982,1
181986,802433,1
393942,824136,1
140267,385474,1
296851,586441,1
392495,435064,1
203217,289573,1
97186,141637,1
144922,762420,1
286690,562970,1
258598,438265,1
100695,7639,1
188356,189861,1
420092,771047,1
92208,284509,1
394457,824256,1
172527,557754,1
274772,238952,1
357540,79832,1
285430,90529,1
274165,108892,1
418196,586916,1
414825,400011,1
389828,768199,1
287241,726670,1
93252,435064,1
153021,978112,1
180320,294274,1
249596,385360,1
192059,231129,1
122794,13125,1
348512,735165,1
201993,825379,1
236168,859399,1
258205,385671,1
398843,807708,1
4810,435064,1
336124,585913,1
191286,83666,1
257374,438265,1
387519,284785,1
205997,566254,1
287891,627586,1
347553,874271,1
353379,435064,1
143622,201583,1
294013,585964,1
88178,736309,1
206204,920552,1
390521,740770,1
249641,385854,1
296389,585964,1
302740,586401,1
235166,817491,1
88556,702873,1
183813,344163,1
271367,89885,1
242547,859399,1
297282,585895,1
334791,734298,1
328633,551070,1
183590,912262,1
266353,498167,1
258746,385831,1
149967,978112,1
206872,68673,1
203420,921720,1
144830,678675,1
293877,586144,1
328380,586091,1
182761,819661,1
392459,865641,1
191682,293343,1
196573,149318,1
274163,108592,1
187900,83761,1
397812,830125,1
85987,7220,1
337749,585876,1
184600,817252,1
139976,631330,1
300654,435064,1
332802,270,1
233610,959073,1
395454,561331,1
390245,807080,1
190550,292866,1
209265,919079,1
288496,550762,1
285620,170146,1
394423,669352,1
271377,90620,1
392437,807249,1
389863,435064,1
233959,876459,1
171523,79832,1
271376,90435,1
250537,37567,1
390578,770874,1
418094,770741,1
333750,734443,1
265813,81991,1
232103,838946,1
293569,550784,1
140248,999592,1
388585,145974,1
288719,586019,1
353479,221566,1
399387,675682,1
272610,60346,1
301877,586246,1
274335,109136,1
346085,435064,1
195937,184669,1
210860,83502,1
101199,45330,1
328963,585899,1
199536,151876,1
84243,36850,1
265444,293156,1
325339,181205,1
87302,68305,1
84454,7811,1
286672,622288,1
268032,517975,1
423204,557754,1
424758,649354,1
292349,585654,1
278430,513027,1
