id_cl,id_us
228391,1979233
397099,776853
204052,609496
421693,1663263
228415,1975038
191864,169312
187802,270512
172097,1762755
252062,406196
92208,284509
118746,1453222
89113,846597
288604,585676
120345,1473190
108404,1467989
249459,406251
237212,918799
160973,1403362
8901,1541313
298690,1821409
409616,1980042
415595,1173728
114958,1322013
293022,586478
397767,776448
100004,1136714
153478,1830736
271945,104629
417441,1058006
264394,176383
320559,1993008
88137,752877
145484,817072
387262,1853215
62428,1794240
88500,3604
171397,1763112
359983,1613341
406166,1991350
394423,669352
141854,158243
160184,1325880
157387,1239823
153914,323161
297590,1837361
271110,90516
236784,844829
297795,984099
415351,1111024
141371,528732
417336,1143034
228595,1983620
153476,898824
188289,938642
423396,1126070
390547,771009
229979,143110
340303,348293
170115,1395560
164358,1396214
125940,1535448
86555,35417
306518,143255
188492,224919
415539,1058150
157063,1316298
236155,50637
173616,1790435
398697,807504
358671,1257882
271930,104910
349470,1071365
114602,1591976
251778,385849
205177,1895283
84454,7811
295005,586025
157351,1402080
86155,35662
50764,1713789
391329,1146951
208482,921160
117056,1411941
177050,1748160
421544,1146771
292616,585794
180126,256908
359021,1628687
290433,1796015
216816,1454700
289234,975580
214368,1877343
361191,1633596
235236,1051678
398919,807605
182963,888670
198722,184361
173457,857912
95481,1554471
94785,1585926
118446,1402269
145695,1701142
146002,1868063
140328,677010
417060,1096434
10874,1846044
217456,1941768
359469,1626490
398671,1074609
74499,1963233
419927,1672338
420138,1846152
10293,619343
290104,1812801
1421,1238824
144017,1600740
235591,387655
161541,1327028
84633,90012
80385,1631572
14393,1928196
274556,52212
295106,979285
109094,1571542
2259,1034304
100710,709224
391646,678290
215529,1921592
227949,1993341
176050,1752714
85763,7459
103509,1357999
150233,1763285
22842,142074
158033,1222570
154621,252660
419921,1675481
280280,541789
104917,1344615
415185,1828662
160447,1326526
158284,1208305
273507,344492
159797,1222441
96706,64570
86019,82025
418872,1086535
366608,1808518
253201,77083
226270,1972353
393157,824256
116385,1368195
212946,1937963
290316,1795729
2755,1659912
231487,1775478
92779,1320506
290110,1795997
416039,1121010
346175,1057388
340243,47006
86378,36032
224515,1971055
245465,1407068
418894,1087020
89469,695374
173683,858051
348145,1025552
23302,1170839
160506,1331725
146003,1699878
271938,104464
252151,406200
196529,266923
255473,56911
160388,1327241
163398,1637201
192062,234873
149770,1673710
356353,959918
108029,1430072
142072,341338
204244,192300
73685,916786
288682,586004
130877,1986660
203207,566254
251536,366
201996,825494
290291,1794595
31946,885900
85647,912262
218670,1615515
93181,1820122
210522,83502
145719,1701097
250707,406173
255038,1885520
274615,44186
419831,1666420
271936,104826
151585,1772303
196340,37522
107023,1342336
112085,1565104
5793,1991395
145625,1700915
423530,1851636
367675,241193
160090,1323379
89979,331631
172054,1762531
85487,7404
202002,822942
117064,1412224
10743,1836943
280642,466825
250280,365158
350109,1079267
161352,1326804
150688,1875981
145154,679569
206872,68673
215710,1541052
224080,1958685
86654,89777
153569,495222
186124,241692
145626,1701013
251124,383
2027,1631994
254088,211694
157877,1228949
184561,699305
160929,1323485
295109,980151
421690,1663707
182186,727629
162972,1447596
360967,1626632
193564,169340
88085,740770
160177,1326983
274698,249607
300477,138646
320,1983337
275890,181315
291291,229065
422058,1747149
40841,583621
254489,54160
362100,942534
142451,1082397
109164,1468024
195937,184669
271937,104775
20063,1253771
353179,1661240
210689,1938165
212653,1944795
157339,1313272
117053,1412181
253447,48383
86747,35487
392146,807043
290217,1794470
157921,1193070
224508,1970971
284456,156078
211204,1933388
95920,1468456
419909,1672148
86400,316315
161312,1325099
250541,37610
282071,487936
178431,131601
297943,1837563
253414,18442
105985,1328485
418723,1085501
162548,1325424
245740,1631244
84982,7819
288496,550762
145718,1700798
100241,1532422
407376,591341
297367,997591
282098,460948
352072,1094043
419910,1671365
223573,1980283
288495,551070
418730,1071550
290288,1794095
330644,727733
197741,960572
398844,807924
415594,1056737
3721,1632266
144938,678188
27182,189783
349473,1071168
204165,1884993
210688,1938957
277880,296957
86552,35928
214583,1935579
393944,824418
156779,1211259
122538,818381
160537,1330595
352561,1638906
288555,586401
231755,1134716
249906,333244
134233,1989238
131090,1972365
254045,46215
329238,720346
320732,1976591
252150,406481
207139,204433
174016,859484
245248,1637202
210744,1940188
114540,1394598
301047,664957
148631,1216890
358578,1641532
140438,494138
228761,1983831
419028,806364
95280,1582483
402893,1993335
398776,807702
398471,807461
387656,257065
388553,149556
83324,1237069
255476,56677
196271,151876
195789,921130
158481,1228867
141845,630525
84460,7520
