cl_id,us_id,confidence
134833,801009,0.99795896
421589,380997,0.99793214
269840,521366,0.99793214
184803,1636140,0.99784887
148851,1788344,0.99781644
156932,757486,0.9978125
112373,1868109,0.9978125
83114,1799495,0.9978063
416694,513514,0.9978027
176371,106083,0.99779165
248887,654614,0.9977445
149272,624152,0.9976139
156068,487112,0.9975146
234405,238390,0.9974658
207755,846213,0.99745136
167359,1680986,0.99743307
99768,653672,0.99738014
99736,901307,0.99738014
99664,947931,0.99738014
99460,940446,0.99738014
99390,770585,0.99738014
99340,932900,0.99738014
99327,262619,0.99738014
99295,959648,0.99738014
99243,962736,0.99738014
99163,368601,0.99738014
99161,1080221,0.99738014
99150,843482,0.99738014
98994,631152,0.99738014
98976,919501,0.99738014
98894,975385,0.99738014
98880,1723730,0.99738014
9885,351836,0.99738014
98791,708512,0.99738014
98547,484611,0.99738014
98518,929451,0.99738014
98453,90012,0.99738014
98429,91361,0.99738014
98153,411691,0.99738014
98145,538630,0.99738014
98120,33894,0.99738014
97906,906916,0.99738014
97897,727050,0.99738014
97895,832929,0.99738014
976,60599,0.99738014
97546,728671,0.99738014
97509,856823,0.99738014
97425,918808,0.99738014
97389,979614,0.99738014
97355,537366,0.99738014
97304,200168,0.99738014
97184,933979,0.99738014
96982,75293,0.99738014
96903,984674,0.99738014
96684,561076,0.99738014
96659,410042,0.99738014
9647,962833,0.99738014
96320,372817,0.99738014
96012,908699,0.99738014
95973,870767,0.99738014
95620,895354,0.99738014
95471,950870,0.99738014
95287,89738,0.99738014
9525,632649,0.99738014
95233,751522,0.99738014
94774,489676,0.99738014
9469,877326,0.99738014
94421,125635,0.99738014
94369,1852421,0.99738014
94286,1554153,0.99738014
93987,570155,0.99738014
93946,1823410,0.99738014
93941,1486368,0.99738014
93901,753103,0.99738014
93661,52794,0.99738014
93541,677590,0.99738014
93496,898824,0.99738014
93418,983764,0.99738014
93412,602718,0.99738014
93207,49460,0.99738014
93122,93204,0.99738014
92804,1257050,0.99738014
92794,327384,0.99738014
92573,790700,0.99738014
92435,79901,0.99738014
92351,997586,0.99738014
92338,924104,0.99738014
92208,391103,0.99738014
92190,994167,0.99738014
92009,742029,0.99738014
91943,586109,0.99738014
91862,1379578,0.99738014
91806,288800,0.99738014
91799,106479,0.99738014
91532,646431,0.99738014
91496,746712,0.99738014
91365,228427,0.99738014
91333,280053,0.99738014
91067,303227,0.99738014
90963,852883,0.99738014
90941,1127859,0.99738014
9088,86194,0.99738014
9087,1148922,0.99738014
90784,847835,0.99738014
90725,872884,0.99738014
90722,1299057,0.99738014
90574,426783,0.99738014
90335,1706436,0.99738014
89995,748067,0.99738014
89981,349584,0.99738014
89975,965714,0.99738014
8985,767522,0.99738014
89839,660857,0.99738014
89697,624341,0.99738014
89600,844770,0.99738014
89565,1140911,0.99738014
89358,210535,0.99738014
89199,963723,0.99738014
89182,443164,0.99738014
89124,9968,0.99738014
89118,903964,0.99738014
89022,494791,0.99738014
88713,959918,0.99738014
88668,902718,0.99738014
88500,3604,0.99738014
88490,63886,0.99738014
88375,423711,0.99738014
88331,804650,0.99738014
88278,917087,0.99738014
88245,1852082,0.99738014
882,633493,0.99738014
88137,986593,0.99738014
88131,92696,0.99738014
87846,1623232,0.99738014
87826,68185,0.99738014
87526,326822,0.99738014
87494,537069,0.99738014
87479,810831,0.99738014
87286,1383286,0.99738014
87126,640452,0.99738014
87055,765706,0.99738014
86977,84982,0.99738014
86967,781272,0.99738014
86920,370014,0.99738014
86465,945756,0.99738014
86142,89709,0.99738014
86070,1238819,0.99738014
85763,787178,0.99738014
85421,78699,0.99738014
84817,92248,0.99738014
84633,859922,0.99738014
84512,869714,0.99738014
84506,412052,0.99738014
84472,845039,0.99738014
84362,1420873,0.99738014
84124,1091080,0.99738014
83980,87957,0.99738014
83862,986137,0.99738014
83857,785871,0.99738014
83741,814217,0.99738014
8362,991232,0.99738014
8361,937707,0.99738014
8360,312819,0.99738014
83498,1136714,0.99738014
83490,81164,0.99738014
83324,1237069,0.99738014
8326,987342,0.99738014
8324,822342,0.99738014
83152,624066,0.99738014
8313,873672,0.99738014
82994,806807,0.99738014
82958,484235,0.99738014
82935,420439,0.99738014
82717,371343,0.99738014
8187,821681,0.99738014
81477,1367782,0.99738014
81428,807924,0.99738014
8140,1832973,0.99738014
81293,960572,0.99738014
81256,1866479,0.99738014
81104,924695,0.99738014
8074,937044,0.99738014
80732,524512,0.99738014
80539,85965,0.99738014
8047,998126,0.99738014
80298,1500093,0.99738014
8004,997933,0.99738014
79879,1483182,0.99738014
79777,515419,0.99738014
79585,924258,0.99738014
79340,983409,0.99738014
79330,992481,0.99738014
79327,481326,0.99738014
79311,55476,0.99738014
79290,819130,0.99738014
79243,934615,0.99738014
78918,422688,0.99738014
78621,908885,0.99738014
78504,81907,0.99738014
78306,993934,0.99738014
78247,990271,0.99738014
7824,874373,0.99738014
78219,1146190,0.99738014
7820,757506,0.99738014
78196,92084,0.99738014
78114,989282,0.99738014
77894,96942,0.99738014
77830,695229,0.99738014
77762,444531,0.99738014
77591,18270,0.99738014
7744,297377,0.99738014
77012,70272,0.99738014
76989,931683,0.99738014
76635,883077,0.99738014
76512,9494,0.99738014
76457,1739785,0.99738014
76299,695374,0.99738014
76297,833417,0.99738014
76229,942620,0.99738014
75858,363956,0.99738014
75822,883351,0.99738014
7564,177335,0.99738014
75304,128917,0.99738014
75255,910179,0.99738014
75068,891765,0.99738014
75066,63375,0.99738014
74819,650057,0.99738014
74785,833745,0.99738014
7452,656688,0.99738014
74519,10325,0.99738014
74511,946555,0.99738014
74403,79563,0.99738014
74319,816250,0.99738014
7428,872647,0.99738014
74258,902227,0.99738014
74195,968540,0.99738014
74160,7459,0.99738014
74146,287878,0.99738014
74120,97356,0.99738014
